episode,total_reward,mean_form_error,max_form_error,form_var,mean_z_error,min_dyn_distance,collision,threat,r_terms,ic_chase_mode
81,-5.792541754670403,0.059729643166065216,0.0637877807021141,1.125059679907281e-05,0.0003481387975625694,0.10321487486362457,1.0,1.0,"{'r_form': -0.03947898203507066, 'r_form_var': -4.72525065561058e-06, 'r_height': -0.00013925551902502776, 'r_smooth': -0.0013380995392799377, 'r_evade': -2.0903553754091266, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.23199887275695802, 'collision': -8.0}",round_robin
82,-20.23600224964753,0.05622188001871109,0.06374555826187134,2.2757185433874838e-05,0.0007049322011880577,0.10029356181621552,1.0,1.0,"{'r_form': -0.03904035230632871, 'r_form_var': -9.558017882227431e-06, 'r_height': -0.0002819728804752231, 'r_smooth': -0.0008750913292169571, 'r_evade': -2.099119314551354, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.217218279838562, 'collision': -8.0}",round_robin
83,-13.837832274480519,0.048875145614147186,0.054598644375801086,4.820225512958132e-05,0.0005054116481915116,0.10373826324939728,1.0,1.0,"{'r_form': -0.033134071952663366, 'r_form_var': -2.024494715442415e-05, 'r_height': -0.00020216465927660467, 'r_smooth': -0.0010426585376262665, 'r_evade': -2.045214442163706, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.24054479598999023, 'collision': -8.0}",random
84,-4.961093309014369,0.08445461094379425,0.08661652356386185,3.3652693218755303e-06,0.00025794506655074656,0.1068149134516716,1.0,1.0,"{'r_form': -0.05599799828138202, 'r_form_var': -1.4134131151877225e-06, 'r_height': -0.00010317802662029862, 'r_smooth': -0.0012228359282016755, 'r_evade': -2.0610796041786674, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.22273762226104737, 'collision': -8.0}",nearest
85,-3.0777738828431067,0.07371177524328232,0.07522577792406082,7.329034815484192e-06,0.0003246545675210655,0.10384704172611237,1.0,1.0,"{'r_form': -0.047839228683151304, 'r_form_var': -3.07819462250336e-06, 'r_height': -0.0001298618270084262, 'r_smooth': -0.0014246951043605804, 'r_evade': -2.0884588748216633, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.22980146408081056, 'collision': -8.0}",nearest
86,-8.679694923204156,0.05424930900335312,0.05941105633974075,1.722798333503306e-05,0.00019693374633789062,0.10902153700590134,1.0,1.0,"{'r_form': -0.03637841763906181, 'r_form_var': -7.235753000713884e-06, 'r_height': -7.877349853515626e-05, 'r_smooth': -0.0008527169376611709, 'r_evade': -2.0434054449200634, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2178215026855469, 'collision': -8.0}",most_error
87,-13.88920823978389,0.05942176654934883,0.07088522613048553,4.728914063889533e-05,0.00033512114896439016,0.10677973181009293,1.0,1.0,"{'r_form': -0.04345287355361506, 'r_form_var': -1.986143906833604e-05, 'r_height': -0.00013404845958575606, 'r_smooth': -0.001007251963019371, 'r_evade': -2.033684534579516, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2523342609405518, 'collision': -8.0}",random
88,-22.934276138022703,0.05683286115527153,0.06896203011274338,3.997470048489049e-05,0.000458192836958915,0.10501053184270859,1.0,1.0,"{'r_form': -0.04205218306509778, 'r_form_var': -1.6789374203654006e-05, 'r_height': -0.000183277134783566, 'r_smooth': -0.001073748841881752, 'r_evade': -2.077853144705296, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2821420907974243, 'collision': -8.0}",nearest
89,-10.279893021868439,0.04925807565450668,0.0598808228969574,2.8586568078026175e-05,0.00021946430206298828,0.10675370693206787,1.0,1.0,"{'r_form': -0.03611095319734886, 'r_form_var': -1.2006358592770993e-05, 'r_height': -8.778572082519532e-05, 'r_smooth': -0.0009309829771518707, 'r_evade': -2.0362798847258095, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.23584208488464356, 'collision': -8.0}",random
90,-6.821042548467181,0.0778713971376419,0.07975607365369797,3.021177008122322e-06,0.0002781272050924599,0.10531292855739594,1.0,1.0,"{'r_form': -0.05103372616693378, 'r_form_var': -1.268894343411375e-06, 'r_height': -0.00011125088203698397, 'r_smooth': -0.0013143911957740784, 'r_evade': -2.0840612143278126, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2248328685760498, 'collision': -8.0}",random
91,-18.082636020077956,0.06570102274417877,0.07506999373435974,5.106332173454575e-05,0.0006796360248699784,0.10971824079751968,1.0,1.0,"{'r_form': -0.0466252686176449, 'r_form_var': -2.1446595128509215e-05, 'r_height': -0.0002718544099479914, 'r_smooth': -0.0010421588271856308, 'r_evade': -2.0708452776074413, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2613701343536377, 'collision': -8.0}",nearest
92,-3.265654179360907,0.07391239702701569,0.07575628906488419,3.946257493225858e-06,0.0004798769950866699,0.1041911169886589,1.0,1.0,"{'r_form': -0.04816386009100825, 'r_form_var': -1.6574281471548602e-06, 'r_height': -0.00019195079803466797, 'r_smooth': -0.0014601002633571624, 'r_evade': -2.0874266490340236, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2496807336807251, 'collision': -8.0}",nearest
93,-5.256520458328244,0.040363870561122894,0.0452583022415638,1.7165282770292833e-05,0.0004478454648051411,0.1088855043053627,1.0,1.0,"{'r_form': -0.027073376917978748, 'r_form_var': -7.209418763522989e-06, 'r_height': -0.00017913818592205644, 'r_smooth': -0.0010199949890375138, 'r_evade': -2.0733434870839123, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2540295600891113, 'collision': -8.0}",random
94,-23.58253819426343,0.051896799355745316,0.06390958279371262,5.023187259212136e-05,0.0004883169895038009,0.10522876679897308,1.0,1.0,"{'r_form': -0.038670051442459226, 'r_form_var': -2.109738648869097e-05, 'r_height': -0.00019532679580152036, 'r_smooth': -0.0008970843255519867, 'r_evade': -2.084313699603081, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.25388646125793457, 'collision': -8.0}",nearest
95,-3.0227505457315367,0.07443901151418686,0.07715320587158203,4.398191776999738e-06,7.671117782592773e-05,0.10796327143907547,1.0,1.0,"{'r_form': -0.04902863895054906, 'r_form_var': -1.8472405463398897e-06, 'r_height': -3.06844711303711e-05, 'r_smooth': -0.0013031335175037384, 'r_evade': -2.076110185682774, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.26456584930419924, 'collision': -8.0}",nearest
